question,answer,product_name,link,advantages,terms,conditions,benefits,requirements,metadata
What are the benefits of using Organic Mongolia Program?,Not Provided,Organic Mongolia Program,https://xacbank.mn/product/125?lang=en,“Organic Mongolia” Program receives business projects and proposals and conducts the selection process every spring. Selected entrepreneurs qualify for a soft loan without any collateral requirements and also participate at the various exhibitions and trade fairs.,Not Provided,"condition
fee (MNT)
Loan amount
Business up to MNT 60,000,000
Individual up to MNT 20,000,000

Interest fee (per annul)
12.0%
Loan period
up to 3 years
Scope
Zuunmod, Selenge, Darhan, Khovd, Uvs, Khentii, Dornod, Khuvsgul branches
Fee
1.0 %",Not Provided,"condition
fee (MNT)
Loan amount
Business up to MNT 60,000,000
Individual up to MNT 20,000,000

Interest fee (per annul)
12.0%
Loan period
up to 3 years
Scope
Zuunmod, Selenge, Darhan, Khovd, Uvs, Khentii, Dornod, Khuvsgul branches
Fee
1.0 %","Loan amount

For business up to 60,000,000 MNT

For individual up to 20,000,000 MNT

Loan period

Up to 3 years

Annual Interest rate

12.0%"
Can you explain the terms for Not Provided?,Not Provided,Not Provided,https://xacbank.mn/product/122?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
Can you explain the terms for Cash collection?,"Service fee and commission are charged differently depending on cash collection amount, average deposited period and location of customer sales points.
0.1-0.5%",Cash collection,https://xacbank.mn/product/88?lang=en,"Customers' accumulated cash revenue is collected by specialized bank staff from the customers' branches or sales points and safely deposited to their respective accounts.

Secure deposit of accumulated cash earnings, protecting against any external risks;
Saving customer time and operational cost of cash handling;
Easy access to control statements through internet banking or mobile device;
Execute payment and settlements quickly;
Currency for cash collection MNT, USD, EUR.","Service fee and commission are charged differently depending on cash collection amount, average deposited period and location of customer sales points.
0.1-0.5%",Not Provided,Not Provided,Not Provided,"How to apply?
You can apply your request to any XacBank branch. The relationship manager will contact you to explain service terms and conditions. The agreement on cash collection service is made between XacBank and the customer."
Where can I learn more about Not Provided?,https://xacbank.mn/product/78?lang=en,Not Provided,https://xacbank.mn/product/78?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the conditions to apply for Demand deposit?,"services
	Fee
Mnt
	USD
	eur
	cny
	jpy
Income transaction
	Non-cash income
	No commission
Cash income
	No commission
	0.20%
Non-cash withdrawal
	Transaction between XacBank accounts
	Internet banking transaction fee - No fee
Transaction fee at the branches - 100₮
Transaction between banks
	200₮*
	3	0.5
	1,000₮
	-
Cash withdrawal**
	Cash	200₮
	0-10,000 USD түүнтэй тэнцэх - 5,000 төгрөг
10,000-100,000 USD түүнтэй тэнцэх - 10,000 төгрөг
100,000 USD-с дээш түүнтэй тэнцэх - 20,000 төгрөг
Non-cash1
	200₮
	0.50%
	0.50%
	1.00%
	0.50%
Cash income transaction between banks
	2,000₮
Correcting the transaction as customer’s request
	500₮

*300 MNT for interbank non-cash transactions over 5 million MNT

**Withdrawal in the currency or in MNT /as exchange rate of the day/ for the local branches. Reserve a cash withdrawal within one business day if the withdrawal amount is $100,000 or above.

1Except loan disbursement transaction.",Demand deposit,https://xacbank.mn/product/8?lang=en,"No limits in deposit/withdrawal transactions;
    Interest is calculated in compound basis monthly;
    Interest rate increase as the balance in your savings deposit goes up;
    You can manage your bank account, check account balance and make transactions using internet and mobile bank services without coming to a bank office upon registering for E-banking service.","Terms and Conditions:
CURRENCY
	MINIMUM
BALANCE
REQUIREMENT
	INTEREST RATES /ANNUAL/
ACCOUNT BALANCE	Nominal
	Effective*
MNT
	10,000
	up to 50 million MNT	3.60%
	3.66%
above 50 million MNT
	4.80%
	4.91%
USD
	10
	
	1.00%	1.00%
EURO
	10
	
	1.00%
	1.00%
CNY
	50
	
	0.80%
	0.80%
JPY	1,000,000
	
	1.00%
	1.00%
Fees on closing accounts
	
	3,000 MNT

* Effective interest rate is same as Annual percentage yield which means a normalized representation of an interest rate, based on a compounding period of one year","services
	Fee
Mnt
	USD
	eur
	cny
	jpy
Income transaction
	Non-cash income
	No commission
Cash income
	No commission
	0.20%
Non-cash withdrawal
	Transaction between XacBank accounts
	Internet banking transaction fee - No fee
Transaction fee at the branches - 100₮
Transaction between banks
	200₮*
	3	0.5
	1,000₮
	-
Cash withdrawal**
	Cash	200₮
	0-10,000 USD түүнтэй тэнцэх - 5,000 төгрөг
10,000-100,000 USD түүнтэй тэнцэх - 10,000 төгрөг
100,000 USD-с дээш түүнтэй тэнцэх - 20,000 төгрөг
Non-cash1
	200₮
	0.50%
	0.50%
	1.00%
	0.50%
Cash income transaction between banks
	2,000₮
Correcting the transaction as customer’s request
	500₮

*300 MNT for interbank non-cash transactions over 5 million MNT

**Withdrawal in the currency or in MNT /as exchange rate of the day/ for the local branches. Reserve a cash withdrawal within one business day if the withdrawal amount is $100,000 or above.

1Except loan disbursement transaction.","If you wish to make withdrawal/deposit any time you want, we recommend you XacBank's demand deposit product.","If Mongolian citizen - ID card 
    If foreign citizen:
        Passport – with customer’s photo, name/surname, age, and date of birth;
        Certificate of alien registration.","Minimum balance requirement

10,000 mnt

nominal interest rate

MNT: 3.60%-4.80%

USD: 1.0%

effective interest rate

MNT: 3.66%-4.91%

USD: 1.0%"
What are the advantages of Platinum card (UPI)?,"Make payments both domestically and internationally without any problem;
    You will be able to proceed international payments using your MNT account, where non-cash exchange rate will apply depending on the currency of your transactions;
    Currency of your choice such as MNT, USD, and CNY will be connected to your card;
    The payment will proceed through your account which has the same currency as the transaction currency, hence there is no loss from currency exchange;
    Sub-cards at discounted terms;
    No minimum balance is required;
    Link all your demand deposit accounts at XacBank to your payment card and make payments and settlements using internet bank and ATM;
    Withdraw cash (CNY) at “Bank of Inner Mongolia” branches.",Platinum card (UPI),https://xacbank.mn/product/44?lang=en,"Make payments both domestically and internationally without any problem;
    You will be able to proceed international payments using your MNT account, where non-cash exchange rate will apply depending on the currency of your transactions;
    Currency of your choice such as MNT, USD, and CNY will be connected to your card;
    The payment will proceed through your account which has the same currency as the transaction currency, hence there is no loss from currency exchange;
    Sub-cards at discounted terms;
    No minimum balance is required;
    Link all your demand deposit accounts at XacBank to your payment card and make payments and settlements using internet bank and ATM;
    Withdraw cash (CNY) at “Bank of Inner Mongolia” branches.","condition
	Fees and charges
Annual fee
	MNT 100,000
Maximum daily cash withdrawal limit
	MNT 20,000,000
Maximum daily purchase limit (POS)
	MNT 20,000,000
Card replacement fee
	-
PIN code recovery fee
	-
Cash withdrawal
	XacBank ATM
	MNT 0
In abroad /АТМ, POS/
	1.5% or equal to MNT 3000
At XacBank branch /USD, CNY/
	0.25%
At XacBank branch /MNT/
	MNT 200
Balance inquire on an ATM
	XacBank ATM	MNT 0
Other domestic banks' ATM
	MNT 100
Abroad bank ATM
	MNT 1000 or equal currency
Cash withdrawal at “Bank of Inner Mongolia” branches
	Maximum daily limit 200,000 CNY
Minimum single transaction amount 10,000 CNY",Not Provided,Not Provided,"If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;","If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;"
What are the requirements for Regular term deposit?,"Customer application form /download bank form here/;
An official request to open an account;
Official notarized copy of State Registration Certificate;
Notarized signature of applicant /download bank form/;
Copy of charter of the company;
Copy of ID card of the authorized person to dispose with an account.",Regular term deposit,https://xacbank.mn/product/71?lang=en,"By depositing your institution's savings into XacBank's time deposit account, you will cumulative interest earnings at competitive rates regardless of the balance in the account.
Feature
Currency – MNT, USD, EUR, CNY;
No account opening and keeping fee;
Minimum balance requirement;
Method to calculate the interest - accrued each day, and received every month on compound basis. Advantages:
Benefits from loan interest rate discount;
Competitive interest rates;
Option to collect interest earnings into any account;
Option to receive account information by an email;
In sudden case of funding needs option to apply for favorable interest rate loan covered by deposit without terminating time deposit account;
Ability to manage accounts 24 hour a day.",Not Provided,"Interest rates and fees:
Currency
MINIMUM BALANCE REQUIREMENT
INTEREST RATE /ANNUAL/
3 months
6 months
9 months
12 Months
18 months
24 months
MNT
250,000
Nominal
9.00%
9.60%
10.20%
11.00%
11.0%
12.00%
Effective*
9.38%
10.03%
10.69%
11.57%
11.57%
12.68%
USD**
200
Nominal
1.20%**
1.40%
1.60%
1.80%
-
-
Effective*
1.21%
1.41%
1.61%
1.81%
-
-
CNY***
1,500
Nominal
1.20%***
1.40%***
1.60%***
1.80%
-
-
Effective*
1.21%
1.41%
1.61%
1.81%
-
-
Yen	30,000	Nominal
1.00%	-	-	-	-	-
Effective*
1.00%
* Effective interest rate is same as Annual percentage yield, which means a normalized representation of an interest rate, based on a compounding period of one year.

** If the balance of savings account exceeds USD10,000,001, the annual interest rate is calculated at 1.80%.

*** If the balance of savings account exceeds CNY50,000,001, the annual interest rate is calculated at 1.80%.

transaction fees and commissions

services
transactions
amount of fee (currencies)
mnt
usd
eur
cny
Income transaction
Non-cash income
No fee
Cash income
No fee
account fees and commissions

fees and commissions	currencies
mnt
Opening an account
No fee",Not Provided,"Customer application form /download bank form here/;
An official request to open an account;
Official notarized copy of State Registration Certificate;
Notarized signature of applicant /download bank form/;
Copy of charter of the company;
Copy of ID card of the authorized person to dispose with an account.","NOMINAL (MNT)

9.0%-12.0%

EFFECTIVE (MNT)

9.38%-12.68%"
What are the conditions to apply for MIAT Credit Card?,"DESTINATION
	ECONOMIC CLASS /1 WAY/
	ECONOMIC CLASS /2 WAYS/  
	BUSINESS CLASS /1 WAY/
	business CLASS /2 WAYS/
	UPGRADE TO BUSINESS CLASS (1 ways/2ways)
	ONE PIECE OF FREE LUGGAGE FOR EVERY FLIGHT
Beijin	7,500
	15,000
	10,000
	20,000
	6,000/12,000
	3,000
Seoul	12,500
	25,000
	15,500
	31,000
	10,000/20,000
	4,000
HongKong	18,500
	37,000
	22,500
	45,000
	15,000/30,000
	5,500
Тokyo
	19,000
	38,000
	23,500
	47,000
	15,000/30,000
	4,500
Moscow	29,000
	58,000
	36,000
	72,000
	23,000/46,000
	5,500
Berlin	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Frankfurt	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Moscow-Berlin	10,000
	20,000
	15,000
	30,000
	8,000/16,000
	5,000
Busan	15,000
	30,000
	18,500
	37,000
	15,000/30,000
	4,500
Bangkok	22,500
	45,000
	27,500
	55,000
	23,000/46,000
	6,000",MIAT Credit Card,https://xacbank.mn/product/40?lang=en,"Enjoy credit limit up to MNT25 million;
    Earn miles with your purchases;
    Redeem your miles for MIAT products and services including exclusive access at MIAT business lounge;
    Make purchases conveniently while you travel overseas in 200+ countries;
    Get free notification service for your transactions powered by XacInfo;
    No interest charged on purchase transaction if the total balance is paid on the due date.","Receive 1 mile for every MNT10,000 spent in Mongolia by using your MIAT credit card on any XacBank POS;
    Earn miles internationally by swiping your MIAT credit card at any bank’s POS in the world.Conditions
	fee
Currency
	MNT
Annual card fee
	MNT 30,000
Maximum credit limit
	MNT 25,000,000
Minimum credit limit
	MNT 1,500,000
Non-cash transaction interest rate  /monthly/
	2% /monthly/, 24% /annual/
Cash withdrawal interest rate /monthly/
	2.8% /monthly/, 33.6% /annual/","DESTINATION
	ECONOMIC CLASS /1 WAY/
	ECONOMIC CLASS /2 WAYS/  
	BUSINESS CLASS /1 WAY/
	business CLASS /2 WAYS/
	UPGRADE TO BUSINESS CLASS (1 ways/2ways)
	ONE PIECE OF FREE LUGGAGE FOR EVERY FLIGHT
Beijin	7,500
	15,000
	10,000
	20,000
	6,000/12,000
	3,000
Seoul	12,500
	25,000
	15,500
	31,000
	10,000/20,000
	4,000
HongKong	18,500
	37,000
	22,500
	45,000
	15,000/30,000
	5,500
Тokyo
	19,000
	38,000
	23,500
	47,000
	15,000/30,000
	4,500
Moscow	29,000
	58,000
	36,000
	72,000
	23,000/46,000
	5,500
Berlin	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Frankfurt	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Moscow-Berlin	10,000
	20,000
	15,000
	30,000
	8,000/16,000
	5,000
Busan	15,000
	30,000
	18,500
	37,000
	15,000/30,000
	4,500
Bangkok	22,500
	45,000
	27,500
	55,000
	23,000/46,000
	6,000","Earn miles for every purchase you make and spend your miles on MIAT’s products, services and flights.","PRODUCT NAMe
	MILES
Business lounge at airport  
	1,000
Travel pillow
	550
Tie clip
	700
Passport travel bag
	650
USB flash driver	1,000
Bag for shirt and tie
	850
Boeing-767 model
	1,350
Wrist watch model-3609S3
	3,500
Wrist watch model-M6601SS-D
	2,500
Wrist watch model- 3613B1	4,500
Airplane model 1:100
	6,000
Airplane model 1:200
	4,500
Borrussia Dortmund key ring	1,500
Borrussia Dortmund mug
	1,500
Borrussia Dortmund EMMA soft toy
	2,500
Borrussia Dortmund colour pen
	1,000
Borrussia Dortmund ballpoint pen
	1,000",Not Provided
What are the requirements for Digital banking?,"Download XacBank Digital app or visit https://digital.xacbank.mn/XACBaseApp/ from website.
    Contact the nearest branch with your ID card;",Digital banking,https://xacbank.mn/product/39?lang=en,"Registration:
        Become a new customer and access banking services with your digital banking at your fingertips without visiting a XacBank branch;
    Account:
        Open new current account, term deposit and any saving accounts;
        Check account balances and statements, obtain loan account information;
    Transactions:
        Transfer between XacBank accounts FREE OF CHARGE; 
        Interbank transactions; 
        Pay using Qpay service; 
        Loan payment;
        Utility bills;
        Pay for government services, custom payments and tax services;
        Credit card payments; 
        International money transfer (SWIFT); 
        Transactions to frequently used (saved) accounts;
        Multi transaction - Simultaneous transfer of up to five accounts with different amounts and different transaction values;
        Transactions by recipient's phone number and email address; 
        High-value currency trading transactions; 
        Standing order transactions;
        Obtain transaction receipts;
    Card:
        Check debit and credit card information; 
        Create new card order or re-order lost or stolen card;
        Order a Virtual Card that can be used immediately after ordering; 
        Change the status of the card; 
        Temporarily deactivate, re-open lost or stolen card; 
        Get the card PIN code; 
        Get an e-pin code for online transactions; 
        Active and deactivate international transactions; 
        Increase or decrease the card daily transaction limit;
    Loan:
        Get new deposit secured loan;
        Renew or and extend deposit secure loan; 
        Get a salary loan; 
        Check your loan balances; 
        Make payment or close a loan;
    Others:
        Mobile cash - When you don't have a card, use Mobile cash service to withdraw cash from your nearest XacBank ATM; 
        Calculate exchange rates, savings and loans; 
        View your nearest branch or ATM location on map or in list;
        Change or update your personal information; 
        Manage accounts; 
        Change your passwords;",Not Provided,Not Provided,All available banking services will be delivered to you 24/7 using any internet connected device or smartphone app.,"Download XacBank Digital app or visit https://digital.xacbank.mn/XACBaseApp/ from website.
    Contact the nearest branch with your ID card;","enrollment fee

MNT 0

annual fee 

MNT 0"
What are the conditions to apply for Personal accident insurance?,"Possible insurable risks
All types of sudden accidents and their consequences:

Temporary and full loss of labor capacity;
Appointing a disability level;
Death.",Personal accident insurance,https://xacbank.mn/product/61?lang=en,"This type of insurance aims to provide compensation to the insured and his family in case of his/her temporary loss of labor capacity, partial permanent loss, full permanent loss of labor capacity or death due to all types of sudden accidents happened to the insured ones during their work hours, on the work place or at any place in the territory of Mongolia at any time.",Not Provided,"Possible insurable risks
All types of sudden accidents and their consequences:

Temporary and full loss of labor capacity;
Appointing a disability level;
Death.",Not Provided,"Requirements for the insurance
Citizens of Mongolia, foreigners and people without citizenship over 18 years old.
List of required documents
Copy of the insured’s ID card, phone number, e-mail address;
Documents verifying the insured’s employments and position;
Copy of ID card, phone number and e-mail address of an individual qualified for compensation.
List of materials for insurance claims
Application by the insured;
Review made by relevant organizations ( for example, review by Emergency State Agency);
Damage evaluation report;
Insurance contract, original copy of the insurance policy;
Other required materials.",Not Provided
What are the benefits of using Drivers’ liability compulsory insurance?,Not Provided,Drivers’ liability compulsory insurance,https://xacbank.mn/product/60?lang=en,"The following risks caused to others by the driver operating the vehicle:

    Life;
    Health;
    Property damage.",Not Provided,Not Provided,Not Provided,"List of required documents

    Information about the owner- ID card, legal entity’s certificate;
    The vehicle’s certificate and other documents;
    The vehicle’s make, model, serial number and other information.

List of materials for insurance claims

    Application by the insured (fill the application form);
    Accident report and review by Traffic Police;
    Damage evaluation report by the relevant authority;
    Insurance contract, original copy of the insurance policy;
    ID cards and driver’s licenses of the drivers involved, the vehicles ID-s;
    Other required materials.

* An insurance company has different types of risks and associated rates vary for that particular property to be insured.","Required documents:

    Information about the owner- ID card, legal entity’s certificate;
    The vehicle’s certificate and other documents;
    The vehicle’s make, model, serial number and other information."
What are the benefits of using Tailored banking solutions?,Not Provided,Tailored banking solutions,https://xacbank.mn/product/119?lang=en,XacBank’s experienced professionals will tailor banking solutions to your specific business needs and be your valuable long term partner.,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the advantages of Demand deposit?,"No limits in deposit/withdrawal transactions;
    Interest is calculated in compound basis monthly;
    Interest rate increase as the balance in your savings deposit goes up;
    You can manage your bank account, check account balance and make transactions using internet and mobile bank services without coming to a bank office upon registering for E-banking service.",Demand deposit,https://xacbank.mn/product/8?lang=en,"No limits in deposit/withdrawal transactions;
    Interest is calculated in compound basis monthly;
    Interest rate increase as the balance in your savings deposit goes up;
    You can manage your bank account, check account balance and make transactions using internet and mobile bank services without coming to a bank office upon registering for E-banking service.","Terms and Conditions:
CURRENCY
	MINIMUM
BALANCE
REQUIREMENT
	INTEREST RATES /ANNUAL/
ACCOUNT BALANCE	Nominal
	Effective*
MNT
	10,000
	up to 50 million MNT	3.60%
	3.66%
above 50 million MNT
	4.80%
	4.91%
USD
	10
	
	1.00%	1.00%
EURO
	10
	
	1.00%
	1.00%
CNY
	50
	
	0.80%
	0.80%
JPY	1,000,000
	
	1.00%
	1.00%
Fees on closing accounts
	
	3,000 MNT

* Effective interest rate is same as Annual percentage yield which means a normalized representation of an interest rate, based on a compounding period of one year","services
	Fee
Mnt
	USD
	eur
	cny
	jpy
Income transaction
	Non-cash income
	No commission
Cash income
	No commission
	0.20%
Non-cash withdrawal
	Transaction between XacBank accounts
	Internet banking transaction fee - No fee
Transaction fee at the branches - 100₮
Transaction between banks
	200₮*
	3	0.5
	1,000₮
	-
Cash withdrawal**
	Cash	200₮
	0-10,000 USD түүнтэй тэнцэх - 5,000 төгрөг
10,000-100,000 USD түүнтэй тэнцэх - 10,000 төгрөг
100,000 USD-с дээш түүнтэй тэнцэх - 20,000 төгрөг
Non-cash1
	200₮
	0.50%
	0.50%
	1.00%
	0.50%
Cash income transaction between banks
	2,000₮
Correcting the transaction as customer’s request
	500₮

*300 MNT for interbank non-cash transactions over 5 million MNT

**Withdrawal in the currency or in MNT /as exchange rate of the day/ for the local branches. Reserve a cash withdrawal within one business day if the withdrawal amount is $100,000 or above.

1Except loan disbursement transaction.","If you wish to make withdrawal/deposit any time you want, we recommend you XacBank's demand deposit product.","If Mongolian citizen - ID card 
    If foreign citizen:
        Passport – with customer’s photo, name/surname, age, and date of birth;
        Certificate of alien registration.","Minimum balance requirement

10,000 mnt

nominal interest rate

MNT: 3.60%-4.80%

USD: 1.0%

effective interest rate

MNT: 3.66%-4.91%

USD: 1.0%"
What are the requirements for Training for SME executives?,Not Provided,Training for SME executives,https://xacbank.mn/product/117?lang=en,"Participating in XacBank’s training for SME executives will help you understand the banking solutions available, the requirements for each solution, and allow you to receive the necessary solutions with ease. 

Financing solutions: The training will give an understanding of the requirements to obtain a loan, documents necessary, and the overall process of the loan lending procedure. 
Trade finance solutions: The training will cover overcoming common issues and solutions for international trade.
Banking & leasing, insurance services training.
Training of specific projects, which are working with XacBank. /Export development, business advisory, syndicated financing, etc/",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the requirements for Not Provided?,Not Provided,Not Provided,https://xacbank.mn/product/83?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
Can you explain the terms for Working capital loan?,"Loan size
	Loan period
	interest rate*
	
	service fee
Monthly rate	Annual rate
Up to 500 million MNT
	

Up to 36 months	1.8%-2.0%
	21.6% - 24.0%
	
Interest rate can be decreased depending on the deposit amount and loan cycle /number of loans/ of the customer.
	
up to 5 million MNT - 0.5%
5 - 30 million MNT - 1%
Commitment fee: 0.2%
500 million to 2.5 billion MNT
	1.6%-2.0%	19.2% - 24.0%

*Annual percentage rate: 22.5% - 24.9%",Working capital loan,https://xacbank.mn/product/24?lang=en,"The size of the loan depends on your business scope and financial capacities;
    Clients with good loan history, holding current account and savings deposit accounts at XacBank will enjoy lower interest rate on loan;
    We offer flexible repayment schedule to match your business features and seasonal characteristics and give grace period of up to 8 months period;
    The working capital may be used as guarantee for your loan;
    We can finance your additional demand with a repeat loan even if you already have an outstanding loan with the Bank","Loan size
	Loan period
	interest rate*
	
	service fee
Monthly rate	Annual rate
Up to 500 million MNT
	

Up to 36 months	1.8%-2.0%
	21.6% - 24.0%
	
Interest rate can be decreased depending on the deposit amount and loan cycle /number of loans/ of the customer.
	
up to 5 million MNT - 0.5%
5 - 30 million MNT - 1%
Commitment fee: 0.2%
500 million to 2.5 billion MNT
	1.6%-2.0%	19.2% - 24.0%

*Annual percentage rate: 22.5% - 24.9%","If you intend to start a new business, increase the working capital, and expand your business activities to increase income and revenues, we recommend you the “working capital loan”;
    We also offer household loan to finance your other needs such as purchase of furniture, home appliances, renovation works, tuition fee of your children and travel.","You may apply for a working capital loan to carry out sustainable and normal operations of your business, expand it and to finance household consumption.","Have business income to prove your financial capacity to repay the loan;
    Have operated the business for more than 6 months;
    Possess movable or immovable properties to pledge.

Required documents

    Client Application Form /XacBank form, 1 copy of photo/ only for the first time loan applicants;
    Business Loan application form; /XacBank form/;
    Copies of ID Cards;
    Business related documents /Special permits, patents, and licenses/;
    Worksite documents /rent agreement, receipts of most recent rental payments /;
    Business related documents /financial statements, record book etc./;
    In case operational licenses are required, patents, licenses, and permits granted by authorities, and rental agreement;
    Certificate of ownership of apartments, houses and land;
    Miscellaneous:
    Other.","loan size

Up to 2.5 billion MNT

loan period

36 months

interest rate

Monthly rate: 1.6%-2.0%

Annual rate: 19.2% - 24.0%"
Where can I learn more about Digital banking?,https://xacbank.mn/product/39?lang=en,Digital banking,https://xacbank.mn/product/39?lang=en,"Registration:
        Become a new customer and access banking services with your digital banking at your fingertips without visiting a XacBank branch;
    Account:
        Open new current account, term deposit and any saving accounts;
        Check account balances and statements, obtain loan account information;
    Transactions:
        Transfer between XacBank accounts FREE OF CHARGE; 
        Interbank transactions; 
        Pay using Qpay service; 
        Loan payment;
        Utility bills;
        Pay for government services, custom payments and tax services;
        Credit card payments; 
        International money transfer (SWIFT); 
        Transactions to frequently used (saved) accounts;
        Multi transaction - Simultaneous transfer of up to five accounts with different amounts and different transaction values;
        Transactions by recipient's phone number and email address; 
        High-value currency trading transactions; 
        Standing order transactions;
        Obtain transaction receipts;
    Card:
        Check debit and credit card information; 
        Create new card order or re-order lost or stolen card;
        Order a Virtual Card that can be used immediately after ordering; 
        Change the status of the card; 
        Temporarily deactivate, re-open lost or stolen card; 
        Get the card PIN code; 
        Get an e-pin code for online transactions; 
        Active and deactivate international transactions; 
        Increase or decrease the card daily transaction limit;
    Loan:
        Get new deposit secured loan;
        Renew or and extend deposit secure loan; 
        Get a salary loan; 
        Check your loan balances; 
        Make payment or close a loan;
    Others:
        Mobile cash - When you don't have a card, use Mobile cash service to withdraw cash from your nearest XacBank ATM; 
        Calculate exchange rates, savings and loans; 
        View your nearest branch or ATM location on map or in list;
        Change or update your personal information; 
        Manage accounts; 
        Change your passwords;",Not Provided,Not Provided,All available banking services will be delivered to you 24/7 using any internet connected device or smartphone app.,"Download XacBank Digital app or visit https://digital.xacbank.mn/XACBaseApp/ from website.
    Contact the nearest branch with your ID card;","enrollment fee

MNT 0

annual fee 

MNT 0"
What are the requirements for Classic card?,"If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;",Classic card,https://xacbank.mn/product/46?lang=en,"Purchase goods and services from domestic websites promptly;
    Use your payment card with ease when you travel;
    Make non-cash payments without any fees and commissions;
    Latest chip technology of highest security;
    Secure online payments;","Terms and conditions:
Conditions
	Fees and charges
Card validity
	5 years
Annual fee
	MNT 10,000
Maximum daily cash withdrawal limit
	MNT 5,000,000
Maximum daily purchase limit (POS transaction)
	MNT 5,000,000
Card replacement fee
	MNT 10,000
PIN code recovery at branch
	MNT 1,000
PIN code change at ATM
	MNT 0
Cash withdrawal
	XacBank ATM
	MNT 0
In abroad /АТМ, POS/	1.5% or equal to MNT 3000
At XacBank branch /USD/
	0.25%
At XacBank branch /MNT/
	MNT 200
Balance inquire on an ATM	XacBank ATM	MNT 0
Other domestic banks' ATM
	MNT 100
Abroad bank ATM
	MNT 1000 or equal currency",Not Provided,Not Provided,"If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;","Maximum daily cash withdrawal limit

5,000,000 MNT

Maximum daily purchase limit (POS)

5,000,000 MNT

XacBank атм cash out fee

0 mnt"
What are the requirements for Institutional employee savings account service?,Not Provided,Institutional employee savings account service,https://xacbank.mn/product/67?lang=en,"Do you wish to provide your employees with long term job security?
Do you wish to assist your employees with their social issues?
Are you looking for some leverage to keep your key employees for the long term future of your organization?
Let XacBank's ""Institutional Employee Savings Account"" be the solution to the above questions that your organization may be facing.

As the employee devotes a certain portion of their salary towards their savings, the employer designates an equivalent amount into the institutional employee savings account. When the conditions agreed upon to in the contract are satisfied, the employee has the right to receive those savings Advantages:
Double the savings earnings, from yourself and your company;
High interest rate earnings;
Today's savings will guarantee tomorrow's well-being.",Not Provided,"Terms & Conditions
Terms
MNT
USD
Interest /Calculated per annul/
11.0%	-
Duration
60 or more months",Not Provided,Not Provided,"How to apply?
Introduce and familiarize employees with company policies;
Agree upon the conditions between employer and employee, including:
Portion of savings, total amount, and frequency of savings deposits from the employee and employer;
Term of account;
Terms for making withdrawals from the savings account;
The employer institution applies for the account at the bank;
The institution and the bank sign a cooperation agreement;
The bank, employer institution, and the employee sign the ""savings account"" contract.
For more information, please contact your nearest XacBank branch, our customer service hotline 1800-1888"
Where can I learn more about Institutional employee savings account service?,https://xacbank.mn/product/67?lang=en,Institutional employee savings account service,https://xacbank.mn/product/67?lang=en,"Do you wish to provide your employees with long term job security?
Do you wish to assist your employees with their social issues?
Are you looking for some leverage to keep your key employees for the long term future of your organization?
Let XacBank's ""Institutional Employee Savings Account"" be the solution to the above questions that your organization may be facing.

As the employee devotes a certain portion of their salary towards their savings, the employer designates an equivalent amount into the institutional employee savings account. When the conditions agreed upon to in the contract are satisfied, the employee has the right to receive those savings Advantages:
Double the savings earnings, from yourself and your company;
High interest rate earnings;
Today's savings will guarantee tomorrow's well-being.",Not Provided,"Terms & Conditions
Terms
MNT
USD
Interest /Calculated per annul/
11.0%	-
Duration
60 or more months",Not Provided,Not Provided,"How to apply?
Introduce and familiarize employees with company policies;
Agree upon the conditions between employer and employee, including:
Portion of savings, total amount, and frequency of savings deposits from the employee and employer;
Term of account;
Terms for making withdrawals from the savings account;
The employer institution applies for the account at the bank;
The institution and the bank sign a cooperation agreement;
The bank, employer institution, and the employee sign the ""savings account"" contract.
For more information, please contact your nearest XacBank branch, our customer service hotline 1800-1888"
What are the requirements for Cash collection?,Not Provided,Cash collection,https://xacbank.mn/product/88?lang=en,"Customers' accumulated cash revenue is collected by specialized bank staff from the customers' branches or sales points and safely deposited to their respective accounts.

Secure deposit of accumulated cash earnings, protecting against any external risks;
Saving customer time and operational cost of cash handling;
Easy access to control statements through internet banking or mobile device;
Execute payment and settlements quickly;
Currency for cash collection MNT, USD, EUR.","Service fee and commission are charged differently depending on cash collection amount, average deposited period and location of customer sales points.
0.1-0.5%",Not Provided,Not Provided,Not Provided,"How to apply?
You can apply your request to any XacBank branch. The relationship manager will contact you to explain service terms and conditions. The agreement on cash collection service is made between XacBank and the customer."
