question,answer,metadata_branch_name,metadata_address,metadata_timetable,metadata_phone,metadata_opening_time,metadata_closing_time
is the misheel center walking street атм branch open on sunday?,yes,misheel center walking street атм,19th misheel center walking street,mon-sun 8am-10pm,1800-1888,08:00,21:00
"what are the opening hours for international shopping center, express atm  branch?","opening time: 09:00, closing time: 23:59","international shopping center, express atm ","selenge province, sukhbaatar, international shopping center",mon-sun 9am-7pm,1800-1888,09:00,23:59
is the tselmeg supermarket атм branch open on sunday?,yes,tselmeg supermarket атм,"uvs province, ulaangom, tselmeg supermarket ",mon-sun 9am-9pm,1800-1888,09:00,21:00
where is the baylag undraa shopping center atm branch located?,"14th khoroo, narnii road, baylag undraa shopping center",baylag undraa shopping center atm,"14th khoroo, narnii road, baylag undraa shopping center","wed-sun 8am-8pm
tue closed",1800-1888,08:00,20:00
what are the opening hours for hanjargalant branch branch?,"opening time: 08:30, closing time: 16:30",hanjargalant branch,"1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank","monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 201, building 92a, 13th horoo, peace avenue, bayanzurkh district
what3words: //unwanted.climate.tasteful ?","201, building 92a, 13th horoo, peace avenue, bayanzurkh district
what3words: //unwanted.climate.tasteful ",bayanzurkh branch,"201, building 92a, 13th horoo, peace avenue, bayanzurkh district
what3words: //unwanted.climate.tasteful ","monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",1800-1888,09:00,17:00
where is the bulgan branch branch located?,"xacbank building, 1-119, khanddorj avenue, 6th bag, bulgan soum
what3words: /// lugging.motherhood.votes",bulgan branch,"xacbank building, 1-119, khanddorj avenue, 6th bag, bulgan soum
what3words: /// lugging.motherhood.votes","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the tsaiz branch, express atm branch located?","16th khoroo, dandarbaatar street, tsaiz branch","tsaiz branch, express atm","16th khoroo, dandarbaatar street, tsaiz branch",mon-sun 24 hour,1800-1888,06:00,23:59
is the guyen mini market atm branch open on sunday?,yes,guyen mini market atm,"bayanzurkh district, 28 th khoroo, the gachuurt road, khujirbulan, guyen mini market ",mon-sun 8am-11pm,1800-1888,08:00,23:00
"what are the opening hours for munkh-uvugdii supermarket, express atm  branch?","opening time: 09:00, closing time: 22:00","munkh-uvugdii supermarket, express atm ","zavkhan province, tosontsengel, munkh-uvugdii supermarket ",mon-sun 9am-10pm,1800-1888,09:00,22:00
where is the bayan-ulgiy branch branch located?,"2nd floor, mjs tower, 5th bag, ulgii soum
what3words: /// adhesive.bluntly.acrobat",bayan-ulgiy branch,"2nd floor, mjs tower, 5th bag, ulgii soum
what3words: /// adhesive.bluntly.acrobat","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the ulaankhuaran eco market, atm branch open on sunday?",yes,"ulaankhuaran eco market, atm","8th khoroo, ulaankhuaran eco market",mon-sun: 09am-6pm,1800-1888,09:00,18:00
"what is the name of the branch located at micro-region #18, belkhi uugan tuv supermarket?","micro-region #18, belkhi uugan tuv supermarket",belkhi uugan center atm,"micro-region #18, belkhi uugan tuv supermarket",mon-sun: 08-24,nan,08:00,23:59
what are the opening hours for minii delguur market atm branch?,"opening time: 08:00, closing time: 21:00",minii delguur market atm,"micro-region # 14, belhi rd, dambadarjaa, minii delguur market",mon-sun 08:00-21:00,1800-1888,08:00,21:00
is the tsogttsetsii atm branch open on sunday?,yes,tsogttsetsii atm,"tsogttsetsii province, uguumur 4th bag, minimarket ",24 hour,1800-1888,00:00,23:59
"what are the opening hours for altjin bumbugur, express atm branch?","opening time: 10:00, closing time: 19:59","altjin bumbugur, express atm","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, 1st floor ","mon-sun 10am-12pm
wednesday closed",1800-1888,10:00,19:59
where is the songinokhairkhan 06 branch atm branch located?,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank",songinokhairkhan 06 branch atm,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank",mon-sun 24 hour,1800-1888,00:00,23:59
"where is the khusel center, express atm branch located?","14th khoroo, chingeltei avenue, 7th station, khusel center ","khusel center, express atm","14th khoroo, chingeltei avenue, 7th station, khusel center ",mon-sun 10pm-12pm,1800-1888,14:12,14:12
is the sayamaa market атм branch open on sunday?,yes,sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",mon-sun 8am-8pm,1800-1888,08:00,20:00
"is the information communication center, express atm  branch open on sunday?",yes,"information communication center, express atm ","bayan-ulgii province, ulgii, mjs tower ",mon-sun 9am-8pm,1800-1888,09:00,20:00
"is the bor-undur branch, express атм branch open on sunday?",yes,"bor-undur branch, express атм","khentii province, bor-undur, bor-undur branch xac bank",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at 13rd khoroo, enkhtaivan avenue, 92a-1?","13rd khoroo, enkhtaivan avenue, 92a-1",bayanzurkh 05 branch lobby atm,"13rd khoroo, enkhtaivan avenue, 92a-1",mon-sun 24 hour,1800-1888,00:00,23:59
"what are the opening hours for sansar branch, express bank атм branch?","opening time: 00:00, closing time: 23:59","sansar branch, express bank атм","3-р хороо, энхтайваны өргөн чөлөө, зүүн 4 зам, хас банк сансар салбар",mon-sun 24 hour,1800-1888,00:00,23:59
"where is the bayanmongol branch, express atm branch located?","26-р хороо, хүннүгийн гудамж, элизабет хотхон, хас банк баянмонгол тооцооны төв ","bayanmongol branch, express atm","26-р хороо, хүннүгийн гудамж, элизабет хотхон, хас банк баянмонгол тооцооны төв ",mon-sun 24 hour,1800-1888,00:00,23:59
"what are the opening hours for shine ulaangom market, express atm  branch?","opening time: 09:00, closing time: 20:00","shine ulaangom market, express atm ","uvs province, ulaangom, shine ulaangom market ","tue-sun 9am-8pm
monday closed",1800-1888,09:00,20:00
"is the bayanmongol branch, express atm branch open on sunday?",yes,"bayanmongol branch, express atm","26-р хороо, хүннүгийн гудамж, элизабет хотхон, хас банк баянмонгол тооцооны төв ",mon-sun 24 hour,1800-1888,00:00,23:59
where is the hongor branch branch located?,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots",hongor branch,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots","monday - friday: 10:00am-6:00pm
saturday, sunday: сlosed",1800-1888,10:00,18:00
what are the opening hours for tsogttsetsii atm branch?,"opening time: 00:00, closing time: 23:59",tsogttsetsii atm,"tsogttsetsii province, uguumur 4th bag, minimarket ",24 hour,1800-1888,00:00,23:59
is the nalaikh branch express atm branch open on sunday?,yes,nalaikh branch express atm,"micro-region # 2, nalaikh tuv str, xacbank, nalaikh branch",24 hour,1800-1888,00:00,23:59
where is the orgil branch branch located?," 2nd floor, ""gazar shiltgeen"" complex,15th horoo, khan-uul district /zaisan, ""orgil"" marketplace, 2nd floor/
what3words: /// splashes.duos.shuttling",orgil branch," 2nd floor, ""gazar shiltgeen"" complex,15th horoo, khan-uul district /zaisan, ""orgil"" marketplace, 2nd floor/
what3words: /// splashes.duos.shuttling","monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the tolgoit gungervaa minii delguur атм branch open on sunday?,yes,tolgoit gungervaa minii delguur атм,"2th khoroo, tolgoit narangiin gol",mon-sun 24 hour,1800-1888,07:00,23:59
is the khasbank central atm branch open on sunday?,yes,khasbank central atm,"micro-region #8, prime minister amar`s street, xacbank hq building",24 hour,1800-1888,00:00,23:59
where is the e-mart khan-uul express crm-atm branch located?,"15th khoroo, ikh mongol street 71, e-mart khan-uul",e-mart khan-uul express crm-atm,"15th khoroo, ikh mongol street 71, e-mart khan-uul",09:00am-10:00pm,1800-1888,09:00,22:00
what are the opening hours for sukhbaatar 08 branch crm branch?,"opening time: 00:00, closing time: 23:59",sukhbaatar 08 branch crm,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",mon-sun 24 hours,18001888,00:00,23:59
"is the khan jargalant shopping center, express atm   branch open on sunday?",yes,"khan jargalant shopping center, express atm  ","bulgan province, udval street, khan jargalant shopping center",mon-sun 9am-8pm,1800-1888,09:00,20:00
"what are the opening hours for altjin bumbugur, express atm branch?","opening time: 10:00, closing time: 19:59","altjin bumbugur, express atm","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, 1st floor ","mon-sun 10am-12pm
wednesday closed",1800-1888,10:00,19:59
is the orgil shopping center атм branch open on sunday?,yes,orgil shopping center атм,"bayan-ulgii province, ulgii, orgil shopping center ",mon-sun 9am-9pm,1800-1888,09:00,21:00
"what are the opening hours for altjin bumbugur, express atm branch?","opening time: 10:00, closing time: 19:59","altjin bumbugur, express atm","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, 1st floor ","mon-sun 10am-12pm
wednesday closed",1800-1888,10:00,19:59
where is the nalaikh market express atm branch located?,"nalaikh market,  2nd committee, nalaikh district",nalaikh market express atm,"nalaikh market,  2nd committee, nalaikh district",08:30am-20:00pm,1800-1888,08:30,20:00
is the zam zuur supermarket  атм branch open on sunday?,yes,zam zuur supermarket  атм,"1st khoroo, zam zuur supermarket ",mon-sun 8am-12pm,1800-1888,08:00,23:59
"what are the opening hours for asio market, express atm branch?","opening time: 09:00, closing time: 20:00","asio market, express atm","19th khoroo, da khuree street, 16th district, bayanzurkh, asio market ",mon-sun 10am-20pm,1800-1888,09:00,20:00
"what is the name of the branch located at 3 th khoroo, songinokhairkhan point, bolor taats supermarket?","3 th khoroo, songinokhairkhan point, bolor taats supermarket",bolor taats атм,"3 th khoroo, songinokhairkhan point, bolor taats supermarket",mon-sun 9am-12pm,1800-1888,09:00,23:59
where is the darkhan nekhii shopping center атм branch located?,"orkhon province, bayan-undur, ikh zaluu, darkhan nekhii shopping center ",darkhan nekhii shopping center атм,"orkhon province, bayan-undur, ikh zaluu, darkhan nekhii shopping center ",mon-sun 10am-10pm,1800-1888,10:00,22:00
what are the opening hours for songinokhairkhan 06 branch atm branch?,"opening time: 00:00, closing time: 23:59",songinokhairkhan 06 branch atm,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank",mon-sun 24 hour,1800-1888,00:00,23:59
what are the opening hours for taats supermarket атм branch?,"opening time: 08:00, closing time: 23:59",taats supermarket атм,"7th khoroo, khilchin town, taats supermarket",mon-sun 8am-12pm,1800-1888,08:00,23:59
"what are the opening hours for tushig branch, express bank атм branch?","opening time: 07:00, closing time: 23:59","tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",mon-sun 24 hour,1800-1888,07:00,23:59
"what is the name of the branch located at bayan-ulgii province, ulgii, altai tavan bogd center ?","bayan-ulgii province, ulgii, altai tavan bogd center ","altai tavan bogd center, express atm ","bayan-ulgii province, ulgii, altai tavan bogd center ",mon-sun 9am-8pm,1800-1888,09:00,20:00
where is the good price ikh mongol atm branch located?,"26th khoroo, khunnu street, good price ikh mongol",good price ikh mongol atm,"26th khoroo, khunnu street, good price ikh mongol",mon-sun 8:30am-12pm,1800-1888,08:30,23:00
is the tsoglog plaza атм branch open on sunday?,yes,tsoglog plaza атм,"dundgovi province, saintsagaan, tsoglog plaza",mon-sun 9am-12pm,1800-1888,09:00,23:59
is the hutul branch branch open on sunday?,yes,hutul branch,"15th building, central street, sayhan soum
what3words: /// cashews.pantomimed.kidneys","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the xacbank orgil branch express atm branch open on sunday?,yes,xacbank orgil branch express atm,"micro-region #1, zaisan road, orgil center, xacbank orgil branch",mon-sun 9:00-22:00,1800-1888,09:00,22:00
"what are the opening hours for bayalag-undraa market, express atm-3 branch?","opening time: 08:00, closing time: 20:00","bayalag-undraa market, express atm-3","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","mon-sun 8am-8pm  
tuesday closed",1800-1888,08:00,20:00
is the delgerkhangai center express atm branch open on sunday?,yes,delgerkhangai center express atm,"micro-region #6, yarmag, delgerkhangai center",mon-sun 09:00-20:00,1800-1888,09:00,20:00
"what is the name of the branch located at xacbank building, erdenezuu street, gangan-orkhon bag, harhorin soum
what3words: /// broadest.solid.jarred?","xacbank building, erdenezuu street, gangan-orkhon bag, harhorin soum
what3words: /// broadest.solid.jarred",harhorin branch,"xacbank building, erdenezuu street, gangan-orkhon bag, harhorin soum
what3words: /// broadest.solid.jarred","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the sodon sansar supermarket atm branch located?,"6th khoroo, sodon khoroolol, sansar supermarket",sodon sansar supermarket atm,"6th khoroo, sodon khoroolol, sansar supermarket",mon-sun 8:30am-10pm,1800-1888,08:30,22:00
is the xacbank uvs branch atm branch open on sunday?,yes,xacbank uvs branch atm,"ulaangom sum, xacbank uvs branch",24 hour,1800-1888,00:00,23:59
what are the opening hours for shim center atm branch?,"opening time: 00:00, closing time: 23:59",shim center atm,"saihandulaan sum, shim center",24 hour,1800-1888,00:00,23:59
where is the da khuree auto hall atm branch located?,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ",da khuree auto hall atm,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ","mon-sun 9am-8pm
closed",1800-1888,09:00,20:00
"is the well mart supermarket, express atm branch open on sunday?",yes,"well mart supermarket, express atm","khan-uul district, 11st khoroo, buyant ukhaa, well mart ",mon-sun 9am-10pm,1800-1888,09:00,22:00
"what is the name of the branch located at 8th khoroo, tenger plaza center?","8th khoroo, tenger plaza center",tenger plaza shopping center атм,"8th khoroo, tenger plaza center",mon-sun 8am-12pm,1800-1888,08:00,23:59
where is the sodon sansar supermarket atm branch located?,"6th khoroo, sodon khoroolol, sansar supermarket",sodon sansar supermarket atm,"6th khoroo, sodon khoroolol, sansar supermarket",mon-sun 8:30am-10pm,1800-1888,08:30,22:00
"what is the name of the branch located at 2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, b1 floor ?","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, b1 floor ",altjin bumbugur atm,"2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, b1 floor ","mon-sun 10am12pm
wednesday closed",1800-1888,10:00,23:59
what are the opening hours for tobu center atm branch?,"opening time: 08:00, closing time: 23:00",tobu center atm,"khovd city, tobu center",08:00 - 23:00,1800-1888,08:00,23:00
"what is the name of the branch located at micro-region #12, chuluun ovoo, iteglt trade center?","micro-region #12, chuluun ovoo, iteglt trade center",itgelt trade center atm,"micro-region #12, chuluun ovoo, iteglt trade center",mon-sun 09:00-21:00,1800-1888,09:00,21:00
"what is the name of the branch located at micro-region #10, amgalan, amgalan market?","micro-region #10, amgalan, amgalan market",amgalan market express atm,"micro-region #10, amgalan, amgalan market","monday closed
tue-sun  10:00-20:00",nan,10:00,20:00
where is the ikh mongol branch branch located?,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging",ikh mongol branch,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging","monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",1800-1888,09:00,17:00
where is the dunjingarav trade center atm branch located?,"micro-region #6, narni rd, dunjingarav trade center",dunjingarav trade center atm,"micro-region #6, narni rd, dunjingarav trade center",tue-sun 10:00-20:00,nan,10:00,20:00
where is the tsogttsetsii atm branch located?,"tsogttsetsii province, uguumur 4th bag, minimarket ",tsogttsetsii atm,"tsogttsetsii province, uguumur 4th bag, minimarket ",24 hour,1800-1888,00:00,23:59
is the zam zuur supermarket  атм branch open on sunday?,yes,zam zuur supermarket  атм,"1st khoroo, zam zuur supermarket ",mon-sun 8am-12pm,1800-1888,08:00,23:59
"what is the name of the branch located at uvurkhangai province, kharkhorin, erdenezuu street, xac bank kharkhorin branch?","uvurkhangai province, kharkhorin, erdenezuu street, xac bank kharkhorin branch","kharkhorin branch, express atm ","uvurkhangai province, kharkhorin, erdenezuu street, xac bank kharkhorin branch",mon-sun 9am-6pm,1800-1888,09:00,18:00
is the harhorin branch branch open on sunday?,yes,harhorin branch,"xacbank building, erdenezuu street, gangan-orkhon bag, harhorin soum
what3words: /// broadest.solid.jarred","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for stars center atm branch?,"opening time: 10:00, closing time: 21:00",stars center atm,"micro-region #2, peace avenue, stars center",mon-sun 10:00-21:00,nan,10:00,21:00
where is the urikhan supermarket  атм branch located?,"25th khoroo, zuunsalaa old bus station, urikhan supermarket ",urikhan supermarket  атм,"25th khoroo, zuunsalaa old bus station, urikhan supermarket ",mon-sun 9am-10pm,1800-1888,09:00,22:00
is the hentii branch branch open on sunday?,yes,hentii branch,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for hentii branch branch?,"opening time: 08:30, closing time: 16:30",hentii branch,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for dornod narlag delguur атм branch?,"opening time: 09:30, closing time: 22:00",dornod narlag delguur атм,"dornod province, kherlen, chita street, narlag delguur dornod ",mon-sun 9:30am-10pm,1800-1888,09:30,22:00
is the orbit altai market atm branch open on sunday?,yes,orbit altai market atm,"micro-region #1, orbit busstation, orbit market","wednesday: closed
mon-sun: 9:00-20:00 ",1800-1888,09:00,20:00
what are the opening hours for baganuur branch branch?,"opening time: 08:30, closing time: 16:30",baganuur branch,"xacbank building, 1st horoo, natsagdorj street-7/1, baganuur district
what3words: /// temperance.hyperlinks.inexpensive","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the nalaih branch branch located?,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal",nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the mungun taiga center, express atm branch open on sunday?",yes,"mungun taiga center, express atm","12th khoroo, 6th micro district, mungun taiga center",mon-sun 8am-11pm,1800-1888,08:00,23:00
"what is the name of the branch located at bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ?","bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",dako center atm,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",mon-sun 24 hour,1800-1888,07:00,23:59
where is the hongor branch branch located?,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots",hongor branch,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots","monday - friday: 10:00am-6:00pm
saturday, sunday: сlosed",1800-1888,10:00,18:00
"where is the buyant rashaan, monos pharmacy атм branch located?","selenge province, sukhbaatar, gan zam, buyant rashaan monos pharmacy","buyant rashaan, monos pharmacy атм","selenge province, sukhbaatar, gan zam, buyant rashaan monos pharmacy",mon-sun 8am-11pm,1800-1888,08:00,23:00
where is the star karaoke атм branch located?," 2nd khoroo, narangiin road, tolgoit, star karaoke ",star karaoke атм," 2nd khoroo, narangiin road, tolgoit, star karaoke ",mon-sun 9am-12pm,1800-1888,09:00,23:59
where is the mobile atm branch located?,belkhi zuslan,mobile atm,belkhi zuslan,24,1800-1888,00:00,23:00
is the nomin department store атм branch open on sunday?,yes,nomin department store атм,"14th khoroo, 3rd microdistrict, nomin department store ",mon-sun 8:30am-10:30pm,1800-1888,08:30,22:30
"what are the opening hours for sutain buyant zakh,express bank атм branch?","opening time: 09:00, closing time: 17:59","sutain buyant zakh,express bank атм","18th khoroo, moscow road, sutain buyant zakh",mon-sun 9-18 hour,1800-1888,09:00,17:59
where is the tsenher supermarket  atm branch located?,"1st khoroo,tolgoit, narangiin gol old bus station, tsenher supermarket ",tsenher supermarket  atm,"1st khoroo,tolgoit, narangiin gol old bus station, tsenher supermarket ",mon-sun 9am-11pm,1800-1888,09:00,23:00
"what is the name of the branch located at 22nd khoroo, bayanzurkh district, general health clinic of bayanzurkh ?","22nd khoroo, bayanzurkh district, general health clinic of bayanzurkh ",general health clinic of bayanzurkh атм,"22nd khoroo, bayanzurkh district, general health clinic of bayanzurkh ",mon-sun 7am-12pm,1800-1888,07:00,23:59
"is the sansar branch, express bank атм branch open on sunday?",yes,"sansar branch, express bank атм","micro-region #3, peace avenue, district #13, xacbank bayanzurkh branch",mon-sun: 06:00-01:00,1800-1888,00:00,23:59
"where is the information communication center, express atm  branch located?","tuv province, zuunmod, information communication center","information communication center, express atm ","tuv province, zuunmod, information communication center",mon-sun 9am-9pm,1800-1888,09:00,21:00
what are the opening hours for orkhon market atm branch?,"opening time: 10:00, closing time: 20:00",orkhon market atm,"micro-region #19, peace avenue, orkhon market","mon-sun: 10:00-20:00
thu: closed ",nan,10:00,20:00
what are the opening hours for khuchitshonkhor market  atm branch?,"opening time: 06:00, closing time: 17:00",khuchitshonkhor market  atm,"11st khoroo, sambalkhundev road, khuchitshonkhor market",mon-sun 6am-5pm,1800-1888,06:00,17:00
is the janjin club atm branch open on sunday?,yes,janjin club atm,"micro-region #12, janjin club",24 hour,nan,00:00,23:59
what are the opening hours for govisumber branch atm branch?,"opening time: 00:00, closing time: 23:59",govisumber branch atm,"govisumber province, sumber, minii supermarket ",mon-sun 8am-11pm,1800-1888,00:00,23:59
"what is the name of the branch located at micro-region #1, narnii rd, ulaanbaatar railway staion?","micro-region #1, narnii rd, ulaanbaatar railway staion",ulaanbaatar railway staion atm,"micro-region #1, narnii rd, ulaanbaatar railway staion",mon-sun 08:00-23:00,nan,08:00,23:00
is the narlag denj market atm branch open on sunday?,yes,narlag denj market atm,"11st khoroo, sambalkhundev road, narlag denj market",mon-sun 8am-6pm,18001888,08:00,18:00
"where is the sansar market, express atm branch located?","7th khoroo, b. dorj street, computer information technology university, sansar market","sansar market, express atm","7th khoroo, b. dorj street, computer information technology university, sansar market","mon-sun 10am-8pm
wednesday closed",1800-1888,10:00,20:00
"what is the name of the branch located at 9th khoroo, shar khad street, khos bagana market?","9th khoroo, shar khad street, khos bagana market","khosbagan market, express atm","9th khoroo, shar khad street, khos bagana market",mon-sun 8pm-11pm,1800-1888,08:00,23:00
is the janjin club atm branch open on sunday?,yes,janjin club atm,"micro-region #12, janjin club",24 hour,nan,00:00,23:59
is the star karaoke атм branch open on sunday?,yes,star karaoke атм," 2nd khoroo, narangiin road, tolgoit, star karaoke ",mon-sun 9am-12pm,1800-1888,09:00,23:59
"what is the name of the branch located at 15th khoroo, 3rd microdistrict, ard ayush avanue, discovery llc building, xacbank?","15th khoroo, 3rd microdistrict, ard ayush avanue, discovery llc building, xacbank",tumbaash branch lobby atm,"15th khoroo, 3rd microdistrict, ard ayush avanue, discovery llc building, xacbank",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at 12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ?","12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
"where is the tumbaash branch, express atm  branch located?","15th khoroo, 3rd microdistrict, tumbaash branch xac bank ","tumbaash branch, express atm ","15th khoroo, 3rd microdistrict, tumbaash branch xac bank ",mon-sun 6am-12pm,1800-1888,06:00,23:59
is the tenger plaza shopping center атм branch open on sunday?,yes,tenger plaza shopping center атм,"8th khoroo, tenger plaza center",mon-sun 8am-12pm,1800-1888,08:00,23:59
"what is the name of the branch located at 10th khoroo, wells street, sukhbaatar district,  infront of 16th school, anar supermarket?","10th khoroo, wells street, sukhbaatar district,  infront of 16th school, anar supermarket",anar supermarket atm,"10th khoroo, wells street, sukhbaatar district,  infront of 16th school, anar supermarket",mon-sun 8am-12pm,1800-1888,08:00,23:59
"what are the opening hours for mongol insurance, central branch атм branch?","opening time: 00:00, closing time: 23:59","mongol insurance, central branch атм","1st khoroo, peace avenue, mongol daatgal building, sukhbaatar branch xac bank ",mon-sun 24 hour,1800-1888,00:00,23:59
where is the govi-altai branch atm branch located?,"govi-altai province, esunbulag, main street, xac bank govi-altai branch ",govi-altai branch atm,"govi-altai province, esunbulag, main street, xac bank govi-altai branch ",24 цаг,nan,01:00,23:59
is the songinokhairkhan branch lobby crm-atm-2 branch open on sunday?,yes,songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
is the hutul branch branch open on sunday?,yes,hutul branch,"15th building, central street, sayhan soum
what3words: /// cashews.pantomimed.kidneys","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the umnugovi branch branch located?,"xacbank building, 3rd bag, dalanzadgad soum
what3words: /// telephoning.unemployment.lumpiness",umnugovi branch,"xacbank building, 3rd bag, dalanzadgad soum
what3words: /// telephoning.unemployment.lumpiness","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the bayangol branch branch located?,"1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban",bayangol branch,"1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the bayan shopping center, express atm  branch open on sunday?",yes,"bayan shopping center, express atm ","orkhon province, bayan-undur, byan shopping center",mon-sun 10am-8pm,1800-1888,10:20,20:00
"what is the name of the branch located at orkhon province, bayan-undur, 1st microdistrict, general hospital reception ?","orkhon province, bayan-undur, 1st microdistrict, general hospital reception ",erdenet general hospital атм,"orkhon province, bayan-undur, 1st microdistrict, general hospital reception ",mon-sun 24 hour,1800-1888,00:00,23:59
where is the erdenet branch branch located?,"xacbank building, oyut bag, erdenet hot, bayan-undur soum
what3words: /// rinses.reputable.because",erdenet branch,"xacbank building, oyut bag, erdenet hot, bayan-undur soum
what3words: /// rinses.reputable.because","monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the umnugovi branch branch located?,"xacbank building, 3rd bag, dalanzadgad soum
what3words: /// telephoning.unemployment.lumpiness",umnugovi branch,"xacbank building, 3rd bag, dalanzadgad soum
what3words: /// telephoning.unemployment.lumpiness","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the nomin united store atm branch located?,"micro-region #2, chinggis avenue, nomin united store",nomin united store atm,"micro-region #2, chinggis avenue, nomin united store",mon-sun: 10:00-21:00,1800-1888,10:00,21:00
what are the opening hours for dalaikhuu atm branch?,"opening time: 10:00, closing time: 19:00",dalaikhuu atm,"chingeltei district, 14th khoroo, khailaast, dalaikhuu market ",mon-sun 10am-7 pm,1800-1888,10:00,19:00
where is the ulaanbaatar suvilal atm branch located?,"micro-region #11, ulaanbaatar suvilal",ulaanbaatar suvilal atm,"micro-region #11, ulaanbaatar suvilal",24 hour,1800-1888,00:00,23:59
where is the herlen branch branch located?,"1st floor of tana center, 6th bag, kherlen soum
what3words: /// piglets.costumed.gradually",herlen branch,"1st floor of tana center, 6th bag, kherlen soum
what3words: /// piglets.costumed.gradually","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
