Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
what is the phone number of bolor taats атм?,1800-1888,bolor taats атм,"3 th khoroo, songinokhairkhan point, bolor taats supermarket",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what is the phone number of 100 ail 2th hospital атм?,1800-1888,100 ail 2th hospital атм,10-r khoroo 100 ail 2th hospital,1800-1888,mon-sun 24/7,00:00,23:59,,,
"what are the opening hours of darkhan market, express atm  on monday?",closed,"darkhan market, express atm ","darkhan-uul province, darkhan, darkhan market ",1800-1888,"tue-sun 9am-7pm
mon closed",00:00,23:59,,,
what is the phone number of dornogovi branch urgutgul atm?,1800-1888,dornogovi branch urgutgul atm,"dornogovi province, 4th committee, xacbank-extention",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what is the phone number of farmet market атм?,1800-1888,farmet market атм,"4th khoroo, yarmag, farmer market ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
"is uvurkhangai, express atm  open on saturday?",closed,"uvurkhangai, express atm ","uvurkhangai province, arvaikheer, xac bank uvurkhangai branch ",1800-1888,mon-sun 9am-5:30pm,09:00,17:30,,,
what time does songinohairhan branch close?,16:30,songinohairhan branch,"1st floor, sapporo shopping center, 12th horoo, songinokhairkhan district
what3words: /// princely.hazy.toolbar",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does mobile atm close on weekdays?,23:00,mobile atm,belkhi zuslan,1800-1888,24,00:00,23:00,,,
what time does dornogovi branch extension close?,16:30,dornogovi branch extension,"2nd floor of pharmacy at brau church, 4th bag, sainshand soum, 
what3words: /// compels.tolerates.disapproves",70522221,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of tolgoit gungervaa minii delguur атм?,mon-sun 24 hour,tolgoit gungervaa minii delguur атм,"2th khoroo, tolgoit narangiin gol",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what time does zuunharaa branch open?,08:30,zuunharaa branch,"xacbank building, 3rd bag, mandal soum, 
what3words: /// spout.cooking.smirking",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is nisekh minii hypermarket atm open on saturday?,closed,nisekh minii hypermarket atm,"10th khoroo, back side of nisekh sport complex, minii hypermarket",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what are the weekly opening hours of gost shopping center атм?,mon-sun 9am-10pm,gost shopping center атм,"arkhangai province, erdenebulgam sum, gost shopping center",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what time does xacbank khan-uul branch atm open?,00:00,xacbank khan-uul branch atm,"micro-region #3, chinggis avenue, xacbank khan-uul branch",1800-1888,24 hour,00:00,23:59,,,
what time does uvs branch close on weekdays?,16:30,uvs branch,"xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does khan talst shopping center атм close on weekdays?,19:00,khan talst shopping center атм,"6th khoroo, 13th microdistrict, bayanzurkh market",1800-1888,"mon-sun 9pm-19pm
thu closed",09:00,19:00,,,
what time does ikh ord center open?,09:00,ikh ord center,"bayanzurkh district, micro-region #14, nam yanju str, ikh ord center, xacbank branch
 what3words: /// teacher.absorbing.posting",1800-1888,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",09:00,17:00,,,
what time does shine orchin branch close on weekdays?,16:30,shine orchin branch," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does baruun-urt branch close?,16:30,baruun-urt branch,"mongolbank building, 7th bag, baruun-urt soum
what3words: /// slice.wages.rainwater",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of zamiin-uud branch?,1800-1888,zamiin-uud branch,"xacbank building, central square, 10th section, 1st bag, zamiin-uud soum
what3words: /// ungracious.outcast.cakewalk",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is mandakh market supermarket атм open on saturday?,closed,mandakh market supermarket атм,"nalaikh, 1st khoroo, mandakh market supermarket",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what time does dornod kherlen tt, express атм close on weekdays?",19:00,"dornod kherlen tt, express атм","dornod province, kherlen, trade street, tana market",1800-1888,mon-sun 9am-07pm,09:00,19:00,,,
what is the address of nalaikh zuun khuree delguur atm?,nalaikh zuun khuree delguur,nalaikh zuun khuree delguur atm,nalaikh zuun khuree delguur,18001888,mon-sun 8am-8pm,08:00,20:00,,,
what are the opening hours of xacbank erdenet branch express atm on monday?,closed,xacbank erdenet branch express atm,"erdenet city, xacbank erdenet branch",1800-1888,"mon-fri: 09:00-18:00
sat: 11:00-17:00
sunday closed",08:00,23:00,,,
what time does narlag denj market atm open?,08:00,narlag denj market atm,"11st khoroo, sambalkhundev road, narlag denj market",18001888,mon-sun 8am-6pm,08:00,18:00,,,
what time does dornod branch open?,08:30,dornod branch,"xacbank building, chit street, 6th bag, kherlen soum
what3words: /// discouraged.earphones.forget",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the phone number of shine ulaangom market, express atm ?",1800-1888,"shine ulaangom market, express atm ","uvs province, ulaangom, shine ulaangom market ",1800-1888,"tue-sun 9am-8pm
monday closed",09:00,20:00,,,
is achlal center atm open on saturday?,closed,achlal center atm,"micro-region #14, ard ayush avenue,  district #3, achlal center",,mon-sun: 10:00-20:00,10:00,20:00,,,
what time does khangai town nomin supermarket atm close on weekdays?,22:30,khangai town nomin supermarket atm,"10th khoroo, infront of khangai town, azjargal town, nomin supermarket ",1800-1888,mon-sun 8:30am-10:30pm,08:30,22:30,,,
what time does bayan-undur branch close on weekdays?,16:30,bayan-undur branch,"1st floor of erdenet departmentt store, erdenet hot, bayan-undur soum
what3words: /// armrest.broth.pirate",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is khasbank central atm open on saturday?,closed,khasbank central atm,"micro-region #8, prime minister amar`s street, xacbank hq building",1800-1888,24 hour,00:00,23:59,,,
"is tedy center, express atm  open on saturday?",closed,"tedy center, express atm ","5th khoroo, west selbe street, tedy center, 3nd floor ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what is the phone number of alag tarag market atm?,1800-1888,alag tarag market atm,"1st committee, nairamdal road, orbit, songinokhairan district, alag tarag market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what time does bayangol branch close?,16:30,bayangol branch,"1st floor, solo mall, 13th horoo, bayangol district
what3words: /// alerting.comedians.urban",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of selenge branch?,"xacbank building, 6th bag, suhbaatar soum
what3words: /// purses.purified.gender",selenge branch,"xacbank building, 6th bag, suhbaatar soum
what3words: /// purses.purified.gender",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does yarmag branch close?,16:30,yarmag branch,"horse motors, naadamchid road 929, yarmag, 5th khoroo, khan-uul district
what3words: ///results.poses.puzzled",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is tsogttsetsii branch open on saturday?,closed,tsogttsetsii branch,"xacbank building, tsetsii bag, tsogttsetseii soum
what3words: /// finds.intimates.aerobics",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does farmet market атм open?,10:00,farmet market атм,"4th khoroo, yarmag, farmer market ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what are the opening hours of best massage atm on monday?,closed,best massage atm,"khan-uul district, 3rd khoroo, union of the black eyed peas of mongolia, best massage ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what is the phone number of shur market атм?,1800-1888,shur market атм,"dornod province, kherlen, trade street, shur market ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what is the address of bat-undral arivjikh mini market atm?,"3rd khoroo, tolgoit road, songinokhairkhan district, infront of 65th school, bat-undral arivjikh mini market ",bat-undral arivjikh mini market atm,"3rd khoroo, tolgoit road, songinokhairkhan district, infront of 65th school, bat-undral arivjikh mini market ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what are the weekly opening hours of saruul market atm?,24 hour,saruul market atm,"11rd khoroo, televiz, aldar trade",1800-1888,24 hour,00:00,23:59,,,
"what are the weekly opening hours of sutain buyant zakh,express bank атм?",mon-sun 9-18 hour,"sutain buyant zakh,express bank атм","18th khoroo, moscow road, sutain buyant zakh",1800-1888,mon-sun 9-18 hour,09:00,17:59,,,
what are the weekly opening hours of khangarid sports place?,mon-sun 8am-10pm,khangarid sports place,"orkhon province, bayan-undur, khangarid sports place",1800-1888,mon-sun 8am-10pm,08:00,22:00,,,
can i visit suhbaatar branch on sunday?,closed,suhbaatar branch,"1st floor orient center, 11th horoolol, 7 th horoo, sukhbaatar district
what3words: /// resold.truckload.magic",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of taats supermarket атм on monday?,closed,taats supermarket атм,"7th khoroo, khilchin town, taats supermarket",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
can i visit unur branch on sunday?,closed,unur branch,"building, аос-43/b, 1st khoroolol, 17th horoo, moscow avenue, songinokhairkhan 
what3words: /// swooning.moderated.unique",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does sodon sansar supermarket atm close on weekdays?,22:00,sodon sansar supermarket atm,"6th khoroo, sodon khoroolol, sansar supermarket",1800-1888,mon-sun 8:30am-10pm,08:30,22:00,,,
can i visit bosa supermarket atm on sunday?,closed,bosa supermarket atm,"micro-region #20, bosa supermarket",,"mon-fri: 08:00-23:00
sat-sun: 09:00-22:00",08:00,23:00,,,
is dari-ekh undes tuv open on saturday?,closed,dari-ekh undes tuv,"bayanzurkh district, 2st khoroo, dari-ekh undes tuv",1800-1888,mon-sun 7am-12pm,07:00,22:59,,,
can i visit demchig khairkhan mini market atm on sunday?,closed,demchig khairkhan mini market atm,"chingeltei district, intersection of shadvilan camp, demchig mini market
",1800-1888,mon-sun 9am-12 pm,09:00,23:59,,,
what time does anurad supermarket атм close on weekdays?,14:05,anurad supermarket атм,"bayanlkhongor province, bayankhongor, anurad supermarket ",1800-1888,mon-sun 9am-8pm,14:05,14:05,,,
what is the address of city shop atm?,"micro-region #13, peace avenue, offitser city shop market",city shop atm,"micro-region #13, peace avenue, offitser city shop market",,mon-sun 09:00-23:00,09:00,23:00,,,
what are the opening hours of anar trade center atm on monday?,closed,anar trade center atm,"bulgan city, anar trade center",1800-1888,mon-sun 09:00-24:00,09:00,23:59,,,
what time does harhorin branch close on weekdays?,16:30,harhorin branch,"xacbank building, erdenezuu street, gangan-orkhon bag, harhorin soum
what3words: /// broadest.solid.jarred",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does baruun salaa ulziit khairkhan atm open?,08:00,baruun salaa ulziit khairkhan atm," district #24, bayankhoshuu, baruun salaa ",1800-1888,mon-sun: 08:00-22:00,08:00,22:00,,,
what time does khailaast 84 shopping center атм close?,23:00,khailaast 84 shopping center атм,"15th khotoo, khailaast old bus station, 84 shoppng center ",1800-1888,mon-sun 9pm-11pm,09:00,23:00,,,
can i visit zuun ail branch on sunday?,closed,zuun ail branch,"1st floor, amo center, police street, 10th khoroo, sukhbaatar district
what3words: /// cuddling.acting.crisp",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of tanil supermarket атм on monday?,closed,tanil supermarket атм,"7th khoroo, bayankhoshuu street, tanil supermarket",1800-1888,mon-sun 9am-11pm,09:00,23:00,,,
what time does max market express atm close on weekdays?,23:00,max market express atm,"19th khoroo, suu co, ltd-max market",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what is the address of orgil branch?," 2nd floor, ""gazar shiltgeen"" complex,15th horoo, khan-uul district /zaisan, ""orgil"" marketplace, 2nd floor/
what3words: /// splashes.duos.shuttling",orgil branch," 2nd floor, ""gazar shiltgeen"" complex,15th horoo, khan-uul district /zaisan, ""orgil"" marketplace, 2nd floor/
what3words: /// splashes.duos.shuttling",1800-1888,"monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the phone number of janjin market, amgalan atm?",1800-1888,"janjin market, amgalan atm","12nd khoroo, avenue of the police academy, janjin market ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
is orgil shopping center атм open on saturday?,closed,orgil shopping center атм,"bayan-ulgii province, ulgii, orgil shopping center ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
"what time does khusel center, express atm close?",14:12,"khusel center, express atm","14th khoroo, chingeltei avenue, 7th station, khusel center ",1800-1888,mon-sun 10pm-12pm,14:12,14:12,,,
what time does dornod narlag delguur атм open?,09:30,dornod narlag delguur атм,"dornod province, kherlen, chita street, narlag delguur dornod ",1800-1888,mon-sun 9:30am-10pm,09:30,22:00,,,
what time does ulaanbaatar railway staion atm close on weekdays?,23:00,ulaanbaatar railway staion atm,"micro-region #1, narnii rd, ulaanbaatar railway staion",,mon-sun 08:00-23:00,08:00,23:00,,,
"can i visit bayalag-undraa market, express atm-2 on sunday?",closed,"bayalag-undraa market, express atm-2","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ",1800-1888,"mon-sun 8am-8pm  
tuesday closed",08:00,20:00,,,
can i visit amaya market atm on sunday?,closed,amaya market atm,"23rd committee, revolutionary road, new terminal of zuragt, bayangol dictrict, amaya market ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what are the opening hours of kharkhorin market express atm on monday?,closed,kharkhorin market express atm,"micro-region # 15, district #1, peace avenue, kharkhorin market",1800-1888,"monday closed.
tue-sun: 9:00-19:00 ",09:00,19:00,,,
what time does taats alt market atm open?,00:00,taats alt market atm,"22nd khoroo, 6th microdistrict, taats alt hotel and supermarket ",1800-1888,24 hour,00:00,23:59,,,
"what time does khan jargalant shopping center, express atm   close on weekdays?",20:00,"khan jargalant shopping center, express atm  ","bulgan province, udval street, khan jargalant shopping center",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
"what is the address of 7th station buren, express atm?","14th khoroo, chingeltei avenue , 7th station, khusel center","7th station buren, express atm","14th khoroo, chingeltei avenue , 7th station, khusel center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what are the opening hours of western region shopping center, express atm  on monday?",closed,"western region shopping center, express atm ","bayanlkhongor province, bayankhongor, western region shopping center ",1800-1888,mon-sun 10am-18pm,10:00,18:00,,,
"can i visit international shopping center, express atm  on sunday?",closed,"international shopping center, express atm ","selenge province, sukhbaatar, international shopping center",1800-1888,mon-sun 9am-7pm,09:00,23:59,,,
is max market express atm open on saturday?,closed,max market express atm,"19th khoroo, suu co, ltd-max market",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what is the phone number of guyen mini market atm?,1800-1888,guyen mini market atm,"bayanzurkh district, 28 th khoroo, the gachuurt road, khujirbulan, guyen mini market ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what time does anar trade center atm close on weekdays?,23:59,anar trade center atm,"bulgan city, anar trade center",1800-1888,mon-sun 09:00-24:00,09:00,23:59,,,
"what are the weekly opening hours of erdenet branch, express bank атм?",24/7,"erdenet branch, express bank атм","orkhon province, bayan-undur, selenge restaurant, xac bank erdenet branch ",1800-1888,24/7,00:00,23:59,,,
is khid 2 shopping center  atm open on saturday?,closed,khid 2 shopping center  atm,"2nd khoroo, north of variete center, khid 2 shopping center ",1800-1888,tue-sun 9:30pm-9pm,09:30,21:00,,,
"what are the weekly opening hours of bayangol branch, express bank crm-2?",mon-sun 24 hours,"bayangol branch, express bank crm-2","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank ",18001888,mon-sun 24 hours,00:00,23:59,,,
"what are the weekly opening hours of buyant rashaan, monos pharmacy атм?",mon-sun 8am-11pm,"buyant rashaan, monos pharmacy атм","selenge province, sukhbaatar, gan zam, buyant rashaan monos pharmacy",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
can i visit xacbank khan-uul branch atm on sunday?,closed,xacbank khan-uul branch atm,"micro-region #3, chinggis avenue, xacbank khan-uul branch",1800-1888,24 hour,00:00,23:59,,,
what time does khangai region shopping center атм open?,10:00,khangai region shopping center атм,"orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",1800-1888,mon-sun 10am-7pm,10:00,19:00,,,
"what is the address of bayalag-undraa market, express atm-2?","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","bayalag-undraa market, express atm-2","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ",1800-1888,"mon-sun 8am-8pm  
tuesday closed",08:00,20:00,,,
is guyen mini market atm open on saturday?,closed,guyen mini market atm,"bayanzurkh district, 28 th khoroo, the gachuurt road, khujirbulan, guyen mini market ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what time does khentii evt market, express atm open?",09:00,"khentii evt market, express atm","khentii province, kherlen, east zone market, a bloc ",1800-1888,mon-sun 9am-7pm,09:00,19:00,,,
"what time does ulaankhuaran eco market, atm close on weekdays?",18:00,"ulaankhuaran eco market, atm","8th khoroo, ulaankhuaran eco market",1800-1888,mon-sun: 09am-6pm,09:00,18:00,,,
what time does dari-ekh undes tuv close?,22:59,dari-ekh undes tuv,"bayanzurkh district, 2st khoroo, dari-ekh undes tuv",1800-1888,mon-sun 7am-12pm,07:00,22:59,,,
what time does bosa market close?,23:00,bosa market,"micro-region #10, bayankhoshuu, bosa market",1800-1888,mon-sun 09:00-23:00,09:00,23:00,,,
what time does minii delguur-shar khad atm open?,08:00,minii delguur-shar khad atm,"9th khoroo, shar khad, minii delguur",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what time does 10th microdistrict noyod атм close on weekdays?,21:59,10th microdistrict noyod атм,"6-р хороо, 10-р хороолол, энхтайваны өргөн чөлөө",1800-1888,mon-sun 08-22 hour,08:00,21:59,,,
what time does hutul branch close?,16:30,hutul branch,"15th building, central street, sayhan soum
what3words: /// cashews.pantomimed.kidneys",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of erdenes plaza, express atm ?",mon-sun 9am-12pm,"erdenes plaza, express atm ","darkhan-uul province, darkhan, erdenes plaza ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what time does nalaikh mini market атм open?,09:00,nalaikh mini market атм,"nalaikh, 4th khoroo, altai 1/14, mini market ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what are the opening hours of da khuree auto hall atm on monday?,closed,da khuree auto hall atm,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ",1800-1888,"mon-sun 9am-8pm
closed",09:00,20:00,,,
"what time does nalaikh branch, express bank  close?",23:59,"nalaikh branch, express bank ","nalaikh, 2nd khoroo, davaajav street, xac bank nalaikh branch ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does 100 ail 2th hospital атм open?,00:00,100 ail 2th hospital атм,10-r khoroo 100 ail 2th hospital,1800-1888,mon-sun 24/7,00:00,23:59,,,
is elgen bayan market open on saturday?,closed,elgen bayan market,"dornogovi province, zamiin-uud,  ",1800-1888,mon-sun 8am-11pm,08:00,23:59,,,
what are the weekly opening hours of nisekh minii hypermarket atm?,mon-sun 9am-10pm,nisekh minii hypermarket atm,"10th khoroo, back side of nisekh sport complex, minii hypermarket",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what are the weekly opening hours of sansar branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",sansar branch,"cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of circus atut атм?,1800-1888,circus atut атм,"2th khoroo, 220k, circus atut, 1st floor ",1800-1888,08:30-17:30 hour,08:30,17:30,,,
can i visit nalaikh zuun khuree delguur atm on sunday?,closed,nalaikh zuun khuree delguur atm,nalaikh zuun khuree delguur,18001888,mon-sun 8am-8pm,08:00,20:00,,,
what time does e-mart solo atm close?,22:00,e-mart solo atm,"13rd khoroo, ard ayush avenue, e-mart ",1800-1888,"mon-sun 9am-10pm
",09:00,22:00,,,
"is asait minii delguur, express atm open on saturday?",closed,"asait minii delguur, express atm","22th khoroo, b. dorj street, asait shopping center, minii delguur",1800-1888,mon-sun 8am-11pm,09:00,23:00,,,
what are the weekly opening hours of central hospital-1?,06:00-00:00,central hospital-1,"1-khoroo, central hospital-1",1800-1888,06:00-00:00,06:00,23:59,,,
what are the weekly opening hours of da khuree auto hall atm?,"mon-sun 9am-8pm
closed",da khuree auto hall atm,"bayanzurkh district, 19th khoroo, da khuree street, auto hall ",1800-1888,"mon-sun 9am-8pm
closed",09:00,20:00,,,
"can i visit jukov market, express atm on sunday?",closed,"jukov market, express atm","4th khoroo, 15th microdistrict, khilchid street, jukov market",1800-1888,"tue-sun 9am-9pm
monday closed",09:00,21:00,,,
can i visit efes market atm on sunday?,closed,efes market atm,"micro-region #6, peace avenue, district #10, efes market",1800-1888,mon-sun 09:00-23:00,09:00,23:00,,,
can i visit khid 2 shopping center  atm on sunday?,closed,khid 2 shopping center  atm,"2nd khoroo, north of variete center, khid 2 shopping center ",1800-1888,tue-sun 9:30pm-9pm,09:30,21:00,,,
what time does tsenher supermarket  atm close on weekdays?,23:00,tsenher supermarket  atm,"1st khoroo,tolgoit, narangiin gol old bus station, tsenher supermarket ",1800-1888,mon-sun 9am-11pm,09:00,23:00,,,
"is amar shopping center, express atm  open on saturday?",closed,"amar shopping center, express atm ","bayanlkhongor province, bayankhongor, amar shopping center",1800-1888,mon-sun 9:30am-10:30pm,09:30,22:30,,,
"what is the address of sunday shopping center, express atm?","14th khoroo, namyanju street, sunday shopping center","sunday shopping center, express atm","14th khoroo, namyanju street, sunday shopping center",1800-1888,"tue-sun 10am-9pm
monday closed",10:00,21:00,,,
"can i visit khan-uul branch, express bank  атм on sunday?",closed,"khan-uul branch, express bank  атм","2nd khoroo, chinggis avenue, khan-uul branch xac bank ",1800-1888,mon-sun 24 hour,07:00,23:59,,,
"can i visit emeelt shonkhor center, express atm on sunday?",closed,"emeelt shonkhor center, express atm","32 khoroo, emeelt road, emeelt shonkhor center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what is the phone number of tengis movie theater атм?,1800-1888,tengis movie theater атм,"5th khoroo, j.sambuu street, tengis movie theater ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
"what time does zaisan minii delguur, express atm  open?",09:00,"zaisan minii delguur, express atm ","11st khoroo, zaisan road, minii delguur",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what time does dragon 1 point service centerатм close?,18:59,dragon 1 point service centerатм,"17th khoroo, dragon 1 point service center",1800-1888,"mon-sun 9am-6pm
sat-sun closed",09:00,18:59,,,
what are the weekly opening hours of mandal center atm?,mon-sun 9am-11pm,mandal center atm,"dundgovi province, commercial street, mandal market",1800-1888,mon-sun 9am-11pm,09:00,23:00,,,
is tavan-erdene market атм open on saturday?,closed,tavan-erdene market атм,"19th khoroo, 4th microdistrict, tavan-erdene market ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what is the address of herlen branch?,"1st floor of tana center, 6th bag, kherlen soum
what3words: /// piglets.costumed.gradually",herlen branch,"1st floor of tana center, 6th bag, kherlen soum
what3words: /// piglets.costumed.gradually",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit dornod branch on sunday?,closed,dornod branch,"xacbank building, chit street, 6th bag, kherlen soum
what3words: /// discouraged.earphones.forget",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the address of information communication center, express atm ?","tuv province, zuunmod, information communication center","information communication center, express atm ","tuv province, zuunmod, information communication center",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what are the opening hours of bidnii supermarket atm on monday?,closed,bidnii supermarket atm,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
is dragon center bus terminal atm open on saturday?,closed,dragon center bus terminal atm,"micro-region # 18, peace avenue, dragon center, ",1800-1888,mon-sun: 09:00-24:00,00:00,23:59,,,
what is the phone number of soyombo market атм?,1800-1888,soyombo market атм," 14th khoroo, belkh road, dari-ekh, soyombo market 
",1800-1888,mon-sun 8am-9pm,08:00,21:00,,,
what are the opening hours of xacbank songino khairkhan branch atm on monday?,closed,xacbank songino khairkhan branch atm,"micro-region # 12, district #1 , peace avenue, sapporo busstation, xacbank songino khairkhan branch",1800-1888,24 hour,06:00,23:59,,,
"what are the weekly opening hours of narantuul 2 market, express atm ?","tue-sun 8am-7pm
monday closed","narantuul 2 market, express atm ","12 khoroo, denjiin 1000 road, narantuul 2 market ",1800-1888,"tue-sun 8am-7pm
monday closed",08:00,19:00,,,
is tsoglog plaza атм open on saturday?,closed,tsoglog plaza атм,"dundgovi province, saintsagaan, tsoglog plaza",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
"what time does tushig branch, express bank атм close on weekdays?",23:59,"tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",1800-1888,mon-sun 24 hour,06:00,23:59,,,
what are the opening hours of delgerhaan branch on monday?,8:30am - 4:30pm,delgerhaan branch,"murun market place, 4th bag, murun soum,
what3words: /// librarian.importers.ramps",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of ikh ord lobby on monday?,closed,ikh ord lobby,"micro-region # 14, ikh ord tuv",1800-1888,mon-sun: 24 hour,06:00,23:59,,,
what are the opening hours of khangai town nomin supermarket atm on monday?,closed,khangai town nomin supermarket atm,"10th khoroo, infront of khangai town, azjargal town, nomin supermarket ",1800-1888,mon-sun 8:30am-10:30pm,08:30,22:30,,,
what time does 10th microdistrict noyod атм open?,08:00,10th microdistrict noyod атм,"6-р хороо, 10-р хороолол, энхтайваны өргөн чөлөө",1800-1888,mon-sun 08-22 hour,08:00,21:59,,,
what are the weekly opening hours of automobile purchase loan center 2?,"tuesday - friday: 8:30am-04:30pm
saturday, sunday: 9:00am-05:00pm
monday: closed.
what3words: ///stays.caring.diets",automobile purchase loan center 2,"17th khoroo, sharhad-55, ""da khuree"" market, block b",1800-1888,"tuesday - friday: 8:30am-04:30pm
saturday, sunday: 9:00am-05:00pm
monday: closed.
what3words: ///stays.caring.diets",08:30,16:30,,,
what time does efes supermarket atm close on weekdays?,23:45,efes supermarket atm,"micro-region #6, district #13, efes supermarket, infront of wrestling palace",18001888,mon-sun: 08:45-23:45,08:45,23:45,,,
what is the address of sansar branch?,"cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies",sansar branch,"cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of delgerhaan branch?,"murun market place, 4th bag, murun soum,
what3words: /// librarian.importers.ramps",delgerhaan branch,"murun market place, 4th bag, murun soum,
what3words: /// librarian.importers.ramps",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
